TT PID CT AT IO_D WT RT TRT
36 4 26 10 0 0 0 26
50 8 32 18 0 0 0 32
55 2 51 4 0 0 0 51
97 6 81 16 0 0 0 81
107 43 31 73 0 3 3 34
109 3 102 7 0 0 0 102
112 5 99 13 0 0 0 99
115 48 7 81 0 27 27 34
123 61 7 97 0 19 19 26
125 54 27 91 0 7 7 34
134 7 118 16 0 0 0 118
140 66 27 103 0 10 10 37
141 72 0 115 0 26 26 26
143 10 87 22 0 34 34 121
151 62 27 99 0 25 25 52
152 11 129 23 0 0 0 129
154 71 10 112 0 32 32 42
154 12 103 25 0 26 26 129
161 65 35 100 0 26 26 61
167 86 12 134 0 21 21 33
169 44 16 74 0 79 79 95
178 17 43 35 0 100 100 143
181 28 71 49 0 61 61 132
187 102 21 150 6 16 2 37
198 80 30 127 0 41 41 71
200 118 12 170 0 18 18 30
215 24 24 43 0 148 148 172
243 45 42 76 0 125 125 167
248 69 93 110 0 45 45 138
259 78 77 121 0 61 61 138
261 117 62 167 0 32 32 94
264 42 29 73 0 162 162 191
265 85 23 131 22 111 39 134
268 96 89 145 0 34 34 123
272 110 25 158 12 89 58 114
279 105 22 154 14 103 115 125
290 22 148 41 0 101 101 249
295 39 51 72 0 172 172 223
297 91 135 140 0 22 22 157
298 112 0 162 0 136 136 136
307 25 8 43 0 256 256 264
309 47 36 79 0 194 194 230
340 87 74 134 0 132 132 206
359 18 89 36 0 234 234 323
379 19 99 39 0 241 241 340
389 89 79 136 0 174 174 253
390 109 80 156 0 154 154 234
392 114 143 166 0 83 83 226
404 101 113 148 0 143 143 256
406 35 98 62 0 246 246 344
428 103 48 151 0 229 229 277
440 74 80 116 0 244 244 324
479 50 88 84 0 307 307 395
484 53 91 89 0 304 304 395
489 36 84 65 0 340 340 424
496 107 67 155 0 274 274 341
497 14 83 30 29 384 230 467
498 115 108 166 0 224 224 332
519 121 113 174 0 232 232 345
528 100 121 147 0 260 260 381
549 34 64 60 0 425 425 489
576 84 96 130 0 350 350 446
586 106 88 155 0 343 343 431
586 60 96 95 0 395 395 491
598 57 69 94 0 435 435 504
599 111 103 161 24 335 199 438
614 29 64 50 0 500 500 564
617 58 118 94 0 405 405 523
622 63 125 99 0 398 398 523
634 104 47 151 0 436 436 483
675 93 98 141 0 436 436 534
678 26 79 44 0 555 555 634
696 40 109 72 0 515 515 624
700 15 65 31 0 604 604 669
708 82 93 129 0 486 486 579
730 30 107 51 0 572 572 679
732 70 119 111 0 502 502 621
738 95 120 143 0 475 475 595
773 92 64 141 0 568 568 632
783 64 107 100 0 576 576 683
801 88 100 136 0 565 565 665
808 75 129 116 0 563 563 692
815 20 118 41 0 656 656 774
855 83 46 129 0 680 680 726
857 81 126 127 0 604 604 730
861 97 59 145 0 657 657 716
862 59 119 94 0 649 649 768
863 27 124 46 0 693 693 817
873 32 116 56 20 701 718 817
899 76 54 119 12 726 739 780
902 21 118 41 0 743 743 861
909 79 47 124 0 738 738 785
927 77 27 121 0 779 779 806
942 49 14 84 0 844 844 858
943 16 87 32 0 824 824 911
946 31 130 53 0 763 763 893
960 52 17 86 0 857 857 874
985 46 41 76 0 868 868 909
996 98 122 145 0 729 729 851
998 68 134 107 0 757 757 891
1004 51 5 86 0 913 913 918
1008 73 98 116 0 794 794 892
1022 38 138 70 0 814 814 952
1025 55 64 91 0 870 870 934
1030 119 127 171 0 732 732 859
1033 9 28 21 0 984 984 1012
1049 67 63 105 0 881 881 944
1064 23 67 42 0 955 955 1022
1078 94 131 142 0 805 805 936
1081 90 111 138 74 832 238 943
1101 41 75 72 0 954 954 1029
1134 99 131 147 21 856 862 987
1144 120 94 172 0 878 878 972
1159 33 128 58 0 973 973 1101
1163 37 98 68 0 997 997 1095
1202 116 116 167 12 919 935 1035
1204 108 122 155 0 927 927 1049
1229 113 84 163 0 982 982 1066
1271 1 114 2 50 1155 1201 1269
1315 56 135 91 35 1089 988 1224
1332 13 146 27 78 1159 1203 1305
Processes: 121
Avg WT: 411.099,    Avg RT: 403.264,    Avg TRT: 488.455,    
Migrations: 0		Migration%: 0%     RTF: 0%,    MaxW: 0%,    
Work Steal%: 12.3967%
Forked Processes%: 0%
Killed Processes%: 0%
Processors: 8 [0 FCFS,4 SJF,0 RR, 4 EDF]
Processors Load
P1=2.06081%,     P2=1.84255%,     P3=2.02528%,     P4=1.94406%,     P5=1.89669%,     P6=2.22662%,     P7=2.12341%,     P8=1.9373%,     
Processors utilization
P1=91.4414%,     P2=81.7568%,     P3=89.8649%,     P4=86.2613%,     P5=84.1592%,     P6=98.7988%,     P7=94.2192%,     P8=85.961%,     
Avg  utilization = 89.0578%
