TT PID CT AT IO_D WT RT TRT
29 193 24 5 0 24 0 24
29 191 23 6 0 23 0 23
29 124 24 5 0 0 0 24
29 108 23 6 0 23 0 23
29 86 24 5 0 0 0 24
29 69 23 6 0 23 0 23
29 1 24 5 0 0 0 24
33 78 4 29 0 4 0 4
33 100 3 30 0 3 0 3
33 17 4 28 0 1 1 5
43 4 32 11 0 0 0 32
72 11 55 17 0 0 0 55
79 5 67 12 0 0 0 67
88 7 75 13 0 0 0 75
91 38 11 59 0 21 21 32
106 2 24 7 7 75 0 99
107 38 77 30 0 77 0 77
107 66 76 31 0 76 0 76
107 14 77 24 0 6 6 83
109 10 93 16 0 0 0 93
112 9 96 16 0 0 0 96
122 8 109 13 0 0 0 109
126 6 113 13 0 0 0 113
132 19 25 33 0 74 74 99
133 159 104 34 0 99 0 99
133 130 103 35 0 98 0 98
133 99 104 29 0 4 5 104
133 171 103 108 0 25 0 25
133 83 102 109 0 24 0 24
133 72 103 30 0 77 78 103
133 12 104 20 0 9 9 113
140 18 67 31 0 42 42 109
163 67 40 102 0 21 21 61
170 28 65 44 0 61 61 126
177 15 17 27 0 133 0 150
182 13 138 22 0 22 22 160
184 55 17 83 0 84 28 101
195 59 10 92 0 93 93 103
210 78 14 120 0 76 76 90
220 61 107 94 0 19 19 126
223 64 113 97 0 13 13 126
225 71 92 110 0 23 23 115
242 53 78 81 0 83 83 161
244 146 110 135 0 109 0 109
244 140 109 136 0 108 0 108
244 107 110 135 0 0 0 109
244 168 109 136 0 108 0 108
244 92 110 134 0 0 1 110
244 165 109 135 0 109 0 109
244 68 110 104 0 30 30 140
254 62 113 97 0 44 44 157
261 29 88 44 0 129 129 217
263 41 1 60 0 202 202 203
273 32 9 50 0 214 214 223
277 23 56 40 0 181 181 237
279 58 96 89 0 94 94 190
293 77 69 119 0 105 105 174
296 45 53 64 0 179 179 232
313 40 80 59 8 174 196 254
344 44 133 62 0 149 149 282
360 46 66 67 0 227 227 293
362 24 136 40 0 186 186 322
369 26 28 42 20 299 85 327
372 74 98 114 0 160 160 258
378 35 38 55 0 285 128 323
388 3 99 8 0 281 0 380
389 31 111 47 0 231 231 342
395 37 34 57 0 304 304 338
403 16 58 27 0 318 12 376
407 72 110 112 0 185 185 295
409 73 129 113 0 167 167 296
409 48 95 73 0 241 241 336
426 69 18 104 0 304 304 322
429 47 95 70 0 264 82 359
442 30 19 44 20 379 127 398
447 56 51 84 0 312 312 363
449 42 49 61 0 339 128 388
480 49 90 76 0 314 314 404
487 75 55 115 0 317 44 372
498 27 88 42 0 368 368 456
500 21 93 35 0 372 16 465
501 60 2 92 0 407 407 409
504 63 67 97 0 340 34 407
514 33 64 53 0 397 231 461
516 43 137 62 0 317 317 454
524 36 88 55 0 381 13 469
532 54 19 81 0 432 258 451
534 70 53 107 0 374 33 427
554 34 144 55 0 355 355 499
555 22 107 37 0 411 411 518
559 25 132 40 0 387 387 519
560 20 62 33 42 465 523 527
565 39 47 59 55 459 502 506
577 52 109 80 0 388 115 497
591 76 110 117 0 364 364 474
608 65 86 99 39 423 461 509
615 51 141 80 0 394 120 535
727 66 144 100 47 483 509 627
747 57 144 87 0 516 312 660
778 50 145 78 34 555 326 700
Processes: 100
Avg WT: 170.72,    Avg RT: 114.98,    Avg TRT: 233.01,    
Migrations: 65		Migration%: 65%     RTF: 46.1538%,    MaxW: 53.8462%,    
Work Steal%: 21%
Forked Processes%: 22%
Killed Processes%: 22%
Processors: 13 [3 FCFS,4 SJF,2 RR, 4 EDF]
Processors Load
P1=1.02571%,     P2=1.02571%,     P3=1.03%,     P4=3.22304%,     P5=2.52779%,     P6=2.51491%,     P7=2.08575%,     P8=2.19304%,     P9=1.89691%,     P10=3.06425%,     P11=2.46771%,     P12=2.35612%,     P13=2.07716%,     
Processors utilization
P1=30.7198%,     P2=30.7198%,     P3=30.8483%,     P4=96.5296%,     P5=75.7069%,     P6=75.3213%,     P7=62.4679%,     P8=65.6812%,     P9=56.8123%,     P10=91.7738%,     P11=73.9075%,     P12=70.5656%,     P13=62.2108%,     
Avg  utilization = 63.3281%
