TT PID CT AT IO_D WT RT TRT
14 3 8 6 0 0 0 8
16 6 5 11 0 0 0 5
43 8 26 13 0 4 4 30
46 2 9 4 14 33 0 42
48 7 35 13 0 0 0 35
53 61 9 44 0 9 0 9
53 10 38 15 0 0 0 38
62 15 15 26 0 21 21 36
83 25 34 44 0 5 5 39
89 38 26 60 0 3 3 29
108 90 4 104 0 4 0 4
108 22 0 108 0 0 0 0
108 4 100 8 0 0 0 100
109 5 52 8 0 49 0 101
123 142 50 80 0 29 29 43
123 118 7 123 0 0 0 0
123 104 105 18 0 6 7 105
123 76 76 47 0 76 0 76
123 9 108 15 0 0 0 108
124 14 14 23 0 87 87 101
147 68 22 109 0 16 16 38
150 60 26 98 0 26 26 52
155 35 71 56 0 28 28 99
187 44 39 68 0 80 80 119
205 40 114 151 0 54 0 54
205 114 80 185 0 20 0 20
205 38 141 64 0 59 60 141
205 69 138 67 0 138 0 138
205 17 144 31 0 30 30 174
228 41 40 63 0 125 125 165
230 46 1 70 0 159 159 160
233 99 59 174 0 59 0 59
233 82 47 186 0 47 0 47
233 69 90 111 0 32 32 122
237 123 6 194 0 37 37 43
252 74 96 117 0 39 39 135
256 120 18 191 0 47 47 65
270 156 29 241 0 29 0 29
270 200 13 257 0 13 0 13
270 155 64 135 0 71 71 135
275 100 55 220 0 55 0 55
275 151 48 227 0 48 0 48
275 77 124 123 0 28 28 152
299 72 65 134 0 100 100 165
314 65 76 105 11 133 18 209
317 80 2 129 0 186 186 188
325 137 41 314 0 11 0 11
325 116 55 270 0 30 30 55
325 285 1 324 0 0 0 1
325 207 31 294 0 0 0 31
325 107 119 177 0 29 29 148
380 97 127 162 0 91 91 218
386 59 68 97 0 221 221 289
400 113 19 183 0 198 198 217
425 126 24 199 0 202 202 226
473 88 86 146 0 241 241 327
480 105 6 174 0 300 300 306
492 92 11 154 0 327 327 338
510 109 17 180 0 313 313 330
563 45 137 68 0 358 358 495
603 11 92 18 0 493 493 585
608 54 4 86 0 518 518 522
617 61 8 98 0 511 511 519
633 53 15 83 0 535 535 550
713 57 149 92 0 472 472 621
737 98 103 164 0 470 470 573
843 27 129 46 0 668 668 797
853 125 111 196 0 546 546 657
966 23 112 41 0 813 813 925
981 114 137 183 0 661 661 798
998 16 33 29 0 936 195 969
1070 12 88 20 0 962 962 1050
1122 50 123 80 0 919 919 1042
1189 106 118 176 0 895 895 1013
1242 22 52 39 0 1151 1151 1203
1262 72 132 116 0 1014 1014 1146
1274 121 22 192 0 1060 872 1082
1327 90 84 150 0 1093 1093 1177
1408 112 133 183 0 1092 1092 1225
