TT PID CT AT IO_D WT RT TRT
1419 84 91 138 0 1190 1190 1281
1423 82 36 133 0 1254 187 1290
1439 18 48 34 0 1357 10 1405
1449 42 29 65 0 1355 1355 1384
1578 104 138 171 0 1269 1269 1407
1624 36 42 57 0 1525 467 1567
1680 26 112 46 56 1522 130 1634
1691 67 32 108 0 1551 476 1583
1704 119 23 189 0 1492 527 1515
1719 118 21 186 47 1512 254 1533
1978 81 49 132 0 1797 176 1846
2037 1 46 4 41 1987 0 2033
2097 101 26 167 0 1904 858 1930
2208 64 27 104 0 2077 1236 2104
2257 95 39 159 0 2059 185 2098
2395 93 55 157 0 2183 511 2238
2410 55 47 89 0 2274 27 2321
2441 13 27 20 48 2394 34 2421
2449 51 27 83 42 2339 465 2366
2542 103 57 169 30 2316 247 2373
2630 34 40 53 0 2537 1059 2577
2650 39 41 63 0 2546 1061 2587
2714 96 48 159 10 2507 857 2555
2876 40 56 63 0 2757 473 2813
2889 63 45 102 0 2742 470 2787
2950 87 58 146 0 2746 690 2804
2970 124 63 194 0 2713 702 2776
2983 47 52 72 31 2859 128 2911
3025 43 50 66 0 2909 1106 2959
3037 19 84 35 0 2918 129 3002
3115 56 44 92 0 2979 468 3023
3234 116 81 184 0 2969 520 3050
3587 31 81 53 0 3453 459 3534
3733 37 53 57 0 3623 1103 3676
3769 21 105 39 0 3625 197 3730
3819 117 85 185 0 3549 867 3634
4041 91 79 153 0 3809 239 3888
4067 62 81 100 0 3886 40 3967
4092 127 79 200 21 3813 876 3892
4111 111 88 181 0 3842 859 3930
4247 94 103 157 0 3987 247 4090
4334 70 95 111 0 4128 653 4223
4384 79 66 126 0 4192 662 4258
4437 89 92 148 0 4197 856 4289
4465 75 113 119 0 4233 177 4346
4489 66 83 106 0 4300 1246 4383
4524 52 115 83 0 4326 129 4441
4537 33 120 53 0 4364 15 4484
4550 30 106 50 77 4394 1098 4500
4571 76 77 121 0 4373 664 4450
4593 29 78 48 56 4467 908 4545
4638 85 95 141 44 4402 191 4497
4770 83 109 136 0 4525 244 4634
4785 115 135 184 0 4466 748 4601
4862 49 120 78 0 4664 194 4784
4879 99 143 165 0 4571 515 4714
4895 108 136 180 0 4579 512 4715
4912 24 148 42 0 4722 14 4870
4967 102 141 167 0 4659 861 4800
4981 58 145 94 0 4742 190 4887
5004 28 117 48 56 4839 919 4956
5067 78 145 125 0 4797 243 4942
5131 73 132 116 37 4883 660 5015
5144 100 133 165 0 4846 191 4979
5158 20 141 38 0 4979 1098 5120
5172 110 128 181 0 4863 247 4991
5183 48 145 75 0 4963 1109 5108
5198 32 148 53 0 4997 135 5145
5215 71 137 113 0 4965 483 5102
5235 122 146 194 0 4895 251 5041
5256 86 147 143 40 4966 513 5113
Processes: 150
Avg WT: 1730.25,    Avg RT: 368.72,    Avg TRT: 1796.18,    
Migrations: 926		Migration%: 617.333%     RTF: 9.17927%,    MaxW: 90.8207%,    
Work Steal%: 492%
Forked Processes%: 15.3333%
Killed Processes%: 14%
Processors: 7 [4 FCFS,1 SJF,1 RR, 1 EDF]
Processors Load
P1=0.119513%,     P2=0.10912%,     P3=0.100213%,     P4=0.117657%,     P5=1.9148%,     P6=0.980971%,     P7=0.532983%,     
Processors utilization
P1=6.12633%,     P2=5.59361%,     P3=5.13699%,     P4=6.0312%,     P5=98.1545%,     P6=50.2854%,     P7=27.3212%,     
Avg  utilization = 28.3785%
